Opinion,Labels,,,,,,,,,,,,,,,,,,,,,,
|H?u ?????????? ???????????????????????? - Flashmob UTC 2022|. V?y là ?ã hai tu?n chúng ta t?m chia tay không khí sôi ??ng c?a Space Breakthrough r?i. Li?u có ai còn nh? t?i nh?ng màn trình di?n ??nh cao v?i nh?ng v? ??o ??y lôi cu?n ??n t? các team flashmob không nào? Hãy cùng nhìn l?i nh?ng kho?nh kh?c ?áng nh? nh?t c?a Space Breakthrough qua nh?ng b?c hình lung linh này nhé!,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Mình là sinh viên cao ??ng t?t nghi?p .mu?n liên thông lên ??i h?c ( GTVT) nh?ng mình r?t b?c xúc ,và k hài lòng ,v? cách nói chuy?n, t? v?n bên tr??ng ..khi g?i mình nói chuy?n r?t l? phép mu?n tr??ng t? v?n v? h?c liên thông , vào yêu c?u nh?ng gì , và gi? gi?c h?c t?p nh? nào , nh?ng ch? ???c t? v?n hay nói cmmm gì .. . ( ?a mình ?i hk có tr? hk ..ch? k ?i hk mi?n phí mà tr??ng nói chuy?n ch? nghe l?t tai ???c.. ) mình nói th?t chuyên viên t? v?n ?ã v?y thì mình -TH?T S? E NG?I V? CH?T L??NG D?Y HK C?A NHÀ TR??NG....",Negative,,,,,,,,,,,,,,,,,,,,,,
Vã ti?n vào m?m nó là nó l?i coi e nh? là b? nó luôn.  Kinh nghi?m gtvt k52,Negative,,,,,,,,,,,,,,,,,,,,,,
Tr??ng ?hgt v?n t?i k? n?ng t? v?n kém th?t mình có 1 ??a h?c ??y r?i nên c?ch ??a t 2 h?c giao thông nh?ng ph?i ??a vào trg xây d?ng,Negative,,,,,,,,,,,,,,,,,,,,,,
?a tr??ng GTVT t? v?n t?t và nhi?t tình mà a các th?y cô ch? t?n n?i mà a,Positive,,,,,,,,,,,,,,,,,,,,,,
"Ui ??ng nói v?y
ch?t l??ng gi?ng d?y tr??ng mình r?t t?t ch?c có v?n ?? gì thôiii
M?t uy tín c?a tr??ng quá ?
Mong b?n thông c?m!!!",Positive,,,,,,,,,,,,,,,,,,,,,,
kh sao kh sao lên trên phòng giáo v? nch c?ng nh? v?y luôn à:>,Negative,,,,,,,,,,,,,,,,,,,,,,
X?a ?i h?c kinh nh?t phòng giáo v?,Negative,,,,,,,,,,,,,,,,,,,,,,
Cho em xin review nh?ng n?i tr? thu?n ti?n cho vi?c h?c ??i h?c GTVT HN ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng ?ào t?o giao thông ??u ngành c?a Vi?t Nam. C? s? v?t ch?t ngày càng khang trang, hi?n ??i, ?áp ?ng nhu c?u m?i.",Positive,,,,,,,,,,,,,,,,,,,,,,
C? s? v?t ch?t t?t. Gi?ng viên nhi?t tình,Positive,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng ??p, thu?n ti?n giao thông",Positive,,,,,,,,,,,,,,,,,,,,,,
Môi tr??ng giáo d?c ??ng c?p,Positive,,,,,,,,,,,,,,,,,,,,,,
"Môi tr??ng giáo d?c vô v?n hóa trù d?p ng??i khác ,",Negative,,,,,,,,,,,,,,,,,,,,,,
"L?p mình còn không có gái??????
Toàn v?t ??c",Negative,,,,,,,,,,,,,,,,,,,,,,
L?p mình không có 1 m?ng n? nào thì t? ch?c gì ???c tr??ng,Negative,,,,,,,,,,,,,,,,,,,,,,
Ngày x?a mình ?i h?c toàn con trai mà sao nay l?m gái v?y nh?,Positive,,,,,,,,,,,,,,,,,,,,,,
sang giao thông làm doanh nhân,Positive,,,,,,,,,,,,,,,,,,,,,,
"Nh?ng ?i?u h?p d?n khi gia nh?p gia ?ình K?t N?i Tr?:
- Cùng v?i các anh ch? t? ch?c big game hàng tu?n do chính các b?n lên ý t??ng
- ???c tham gia nh?ng s? ki?n l?n nh? c?a CLB và khoa t? ch?c
- ???c s? h? tr? t?n tâm t?n t?y c?a các anh ch? ?? giúp b?n thân khám phá ra nh?ng s? tr??ng còn ?n gi?u bên trong
-???c ch?ng nh?n thành tích ?? xét Sinh viên 5 t?t",Positive,,,,,,,,,,,,,,,,,,,,,,
CLB x?n quá ?i ?aa,Positive,,,,,,,,,,,,,,,,,,,,,,
"Th?y x?n, trò chu?n nh?",Positive,,,,,,,,,,,,,,,,,,,,,,
Boiz bóng r? utc ?z th? ? ,Positive,,,,,,,,,,,,,,,,,,,,,,
??i hình quá ch?t l??ng,Positive,,,,,,,,,,,,,,,,,,,,,,
"""Các em sinh viên K63 thân m?n,
?ã qua r?i th?i ??i khi ki?n th?c là b?t bi?n, kinh nghi?m là quy?t ??nh. Các em s? ph?i th?c s? h?c cách H?c t?p su?t ??i, h?c cách s?ng chung v?i quan ?i?m, t? duy và l?i s?ng c?a nhi?u n?n v?n hoá h?c cách làm ch? và thích ?ng không ng?ng v?i nh?ng bi?n chuy?n liên t?c c?a th? gi?i công ngh?. Tri th?c, s? b?n b? và kh? n?ng thích ?ng s? quy?t ??nh h?nh phúc và ?? dài con ???ng mà các em s? chinh ph?c su?t cu?c ??i.
H?c ??i h?c theo ngh?a r?ng c?a nó, chính là s? kh?i ??u ??y h?ng kh?i c?a hành trình khám phá tri th?c, ?òi h?i các em ph?i n? l?c t?o nên c? s? giá tr? b?n v?ng cho m?t t??ng lai r?ng m? phía tr??c.
B?ng s? n? l?c, thông minh, sáng t?o c?a các tân sinh viên Khoá 63 s? là nh?ng ng??i vi?t ti?p trang s? hào hùng c?a tr??ng ??i h?c Giao thông V?n t?i"".",Positive,,,,,,,,,,,,,,,,,,,,,,
"Nh?ng l?i nh?n nh? c?a th?y Hi?u tr??ng nh? ti?p thêm cho các em ??ng l?c trong công cu?c khám phá tri th?c, say mê tìm tòi nghiên c?u ?óng góp m?t ph?n công s?c ?? xây d?ng nên m?t Vi?t Nam Xã H?i Ch? Ngh?a v?ng m?nh sáng vai v?i các c??ng qu?c N?m châu, b?n bè Qu?c T?. ",Positive,,,,,,,,,,,,,,,,,,,,,,
L? khai gi?ng th?t hoành tráng,Positive,,,,,,,,,,,,,,,,,,,,,,
6 mùa khai gi?ng mà ch?a ???c phát ng??i yêu ?,Negative,,,,,,,,,,,,,,,,,,,,,,
L?n ??u tiên th?y khai gi?ng x?n th? ?? nh? n?m ngoái khai gi?ng onl v?a n?u c?m v?a cho c? nhà nghe qu?c ca,Positive,,,,,,,,,,,,,,,,,,,,,,
?i khai gi?ng l?i còn ?c quà,Positive,,,,,,,,,,,,,,,,,,,,,,
"Khi tr? thành m?t thành viên c?a Câu L?c B? b?n s? có c? h?i:
 - ???c tham gia, t? ch?c các s? ki?n, h?i ngh? quan tr?ng c?a tr??ng, c?a Thành ?oàn Hà N?i.
- ???c th? thách b?n thân ?? phát tri?n t?ng ngày, phát huy s? tr??ng và tìm ra nh?ng s? thích, tài n?ng m?i.
- ???c các anh ch? có kinh nghi?m ?i tr??c d?n d?t và ch? d?y b?n.
- Có nhi?u c? h?i ???c tham gia ??I S? UTC, tr? thành g??ng m?t ??i di?n c?a nhà tr??ng.",Positive,,,,,,,,,,,,,,,,,,,,,,
?ki ngay ?? ???c các anh ch? phát ny nàoooo,Positive,,,,,,,,,,,,,,,,,,,,,,
"Mn ?i ?ng tuy?n ?i , ngoài trai ??p c? ?àn, gái xinh c? r? thì clb ko còn gì n?a h?t",Positive,,,,,,,,,,,,,,,,,,,,,,
Vào toàn trai xinh gái ??p thân thi?n thôi !,Positive,,,,,,,,,,,,,,,,,,,,,,
h?c h?n 4 n?m nh?ng em ch? ??ng l?i trong trí nh? gi? h?c c?a bu?i t?i,Neutral,,,,,,,,,,,,,,,,,,,,,,
Các em nên h?c thu?c d?n l?ch ca t?i ?? sau ?? b? ng?,Neutral,,,,,,,,,,,,,,,,,,,,,,
h?c c?ng ph?t,Neutral,,,,,,,,,,,,,,,,,,,,,,
mình xin chân ng?i hóng ho?c là test bài múa v? ?i?u tu?i h?ng c? ??i siêu c?p vippro mà n?m kia mình múa cho các thành viên m?i xem ???c không c?,Positive,,,,,,,,,,,,,,,,,,,,,,
Các em ?i xe buýt ?i ch? k có ch? ?? xe :)),Negative,,,,,,,,,,,,,,,,,,,,,,
Web tr??ng có vào ???c ?âuu :(((,Negative,,,,,,,,,,,,,,,,,,,,,,
Web s?p r?i ?khum tr??ng,Negative,,,,,,,,,,,,,,,,,,,,,,
Huhu s?p web rùi,Negative,,,,,,,,,,,,,,,,,,,,,,
Wep c?a tr??ng b? h?ng r?i yêu c?u s?a Ch?a nh?p b?ng tài kho?n tr??ng c?p nh?ng k vào ?c khi nh?p mk còn b? t? ??ng thêm kí t? k th? xóa,Negative,,,,,,,,,,,,,,,,,,,,,,
Tr??ng không ch? có các CLB ? trên mà còn nhi?u các CLB khác các em nhé,Positive,,,,,,,,,,,,,,,,,,,,,,
Tr??ng mình có nhi?u clb ??nh th? nh?,Positive,,,,,,,,,,,,,,,,,,,,,,
Nhi?u CLB h?p d?n quá ?,Positive,,,,,,,,,,,,,,,,,,,,,,
Tr??ng nên dán link fanpage vào t?ng ?nh ?? các em có th? d? dàng tìm hi?u.,Negative,,,,,,,,,,,,,,,,,,,,,,
"SINH VIÊN TR??NG ?H GIAO THÔNG V?N T?I GIÀNH NGÔI V? QUÁN QUÂN NGÀY H?I DI?N THUY?T 2022
Con nhà ng??i ta ? ?âu?? Con nhà ng??i ta ? ngay trong chính ngôi tr??ng mình ?ang h?c ch? ?âu các UTC-er ?i!! ",Positive,,,,,,,,,,,,,,,,,,,,,,
"R?t t? hào v? sinh viên UTC, v? Clb Di?n thuy?t UTC",Positive,,,,,,,,,,,,,,,,,,,,,,
T? hào quá mong sau không có ý ki?n gì v? tr??ng,Positive,,,,,,,,,,,,,,,,,,,,,,
CLB gì mà n?ng ??ng z? v?y ?,Positive,,,,,,,,,,,,,,,,,,,,,,
"N?u các em ?i h?c, ?i sinh ho?t v?i tâm th? chán n?n thì em có nghe gì ??c gì c?ng th?y chán!! Hãy luôn suy ngh? tích c?c, n?ng ??ng, m?i bu?i h?c, bu?i sinh ho?t c?ng có th? là c? h?i ?? các em k?t thêm b?n m?i, m?t m?i quan h? m?i",Positive,,,,,,,,,,,,,,,,,,,,,,
"Ngoài SHCD thì ch?a bi?t 1 xíu thông báo nào t? tr??ng  còn ch? bi?t l?p mk to? ?? ch? nào, có khi nó k t?n t?i cx nên",Negative,,,,,,,,,,,,,,,,,,,,,,
"Ngoài vi?c r?t quan tr?ng là ???c ph? quy ch? ?ào t?o, h??ng d?n s? d?ng tài kho?n h?c,... thì sinh ho?t chính tr? công dân c?ng là th?i ?i?m các em m? r?ng vòng tròn b?n bè, làm quen v?i nh?ng b?n m?i và c?ng có th? nh? thanh niên trong ?nh d??i ?ây tìm ???c real love c?a b?n thân",Positive,,,,,,,,,,,,,,,,,,,,,,
nh? ?i SHCD ??y ?? v?i c? ?i th? vi?n n?a nên mình ?ã g?p chàng trai c?a ??i mình,Positive,,,,,,,,,,,,,,,,,,,,,,
"ki?p nh?p h?c onl, shcd c?ng onl",Negative,,,,,,,,,,,,,,,,,,,,,,
B??c vào h?i tr??ng em c?m giác mình b??c vào thiên ???ng chu?i,Negative,,,,,,,,,,,,,,,,,,,,,,
Tìm ???c l?p thôi ch? real love thì ch?a bi?t :)),Neutral,,,,,,,,,,,,,,,,,,,,,,
Hôm qua ?i SHCD còn ???c ?n c?m tró qua airdrop =))),Neutral,,,,,,,,,,,,,,,,,,,,,,
"kh th?y reallove, ch? th?y 1 b?n nam r?t là vô duyên",Positive,,,,,,,,,,,,,,,,,,,,,,
?i shcd 4 bu?i ??y ?? mà h n?m 4 r v?n có ai ?âu,Negative,,,,,,,,,,,,,,,,,,,,,,
Con b?n tôi nó d?a vai tôi ng? 2 ti?ng :))),Negative,,,,,,,,,,,,,,,,,,,,,,
 h? g?i GTVT là kinh ?ô ánh sáng vì t?i h?c l?i nhi?u,Negative,,,,,,,,,,,,,,,,,,,,,,
tr??ng mình có phòng gym,Positive,,,,,,,,,,,,,,,,,,,,,,
Kinh ?ô Ánh Sáng vì Tr??ng có ca h?c l?i t?i vô cùng ?ông ?úc sáng r?c ?èn ??n 21h r??i .(g?n nh? kín t?t c? các phòng h?c vào bu?i t?i),Negative,,,,,,,,,,,,,,,,,,,,,,
Tr??ng bây gi? khang trang quá. N?u ?c ch?n l?i mình v?n h?c ?H GTVT.,Positive,,,,,,,,,,,,,,,,,,,,,,
tr??ng mình có gi?i bóng cho các khoa,Positive,,,,,,,,,,,,,,,,,,,,,,
Chán cái m?ng ktx.,Negative,,,,,,,,,,,,,,,,,,,,,,
?i?u quan tr?ng nh?t là h?c l?i k b? t?ng giá ti?n tín ch?,Positive,,,,,,,,,,,,,,,,,,,,,,
??i tuy?n ?i?n kinh sinh viên Tr??ng ??i h?c Giao thông v?n t?i giành gi?i Ba gi?i ch?y Báo Hàn?im?i l?n th? 47 - Vì hòa bình n?m 2022,Positive,,,,,,,,,,,,,,,,,,,,,,
"Ti?n ?ây Mình có bán các s?n ph?m laptop ?? ho?, máy Tr?m, laptop Thinkpad cho ae h?c CNTT cày code giá nh? ví ae UTC sau khi c??c cho MU. Cam k?t máy chu?n zin nh? SV n?m 4 UTC ??",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Nh?p h?c xog thì c?ng vui,vui r?i l?i lo l?ng,lo l?ng v? v?n ?? k có ti?n mà ?óng ti?n tr?.",Neutral,,,,,,,,,,,,,,,,,,,,,,
Ch? bì k61 vàng kè,Negative,,,,,,,,,,,,,,,,,,,,,,
U?yyy m?y anh ch? ? tr??ngd t?t b?ng th?c s?,Positive,,,,,,,,,,,,,,,,,,,,,,
"nhìn nh?ng g??ng m?t thanh tú , ngây th? c?a các em mà ng??ng m? bi?t bao nhiêu. Nh? cách ?ây 2 n?m v? tr??c mình c?ng v?y , c?ng tràn ??y n?ng l??ng tích c?c c?a tân sinh viên.",Positive,,,,,,,,,,,,,,,,,,,,,,
M?c ?? ch?m h?c gi?m d?n ??u qua các n?m. Có khi gi?m nhanh luôn,Negative,,,,,,,,,,,,,,,,,,,,,,
Admin tr??ngm?i vi?t cap ???c th?,Positive,,,,,,,,,,,,,,,,,,,,,,
Ai ?ó nói r?ng tr??ng mình có nhi?u b?n n? l?m ?i,Positive,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng t?y chay h?c viên, môi tr??ng giáo d?c ??c h?i coi th??ng ng??i ??n h?c, trù d?p ng??i khác, cán b? ? ?ây nh? h? báo b?t n?t ng??i h?c r?t ghê dù tr??ng m? l?p ?? thu ti?n h?c phí c?a h?c viên",Negative,,,,,,,,,,,,,,,,,,,,,,
Ai ?ó hi?n máu cùng ? Ngày h?i hi?n máu Kho?nh Kh?c không ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
Cho em h?i là h?c ti?ng anh ? trung tâm v?i ? tr??ng thì cái mô t?t h?n ? à v?i l?i là ??ng kí h?c ti?ng anh ? tr??ng h mình ch?a ??ng kí sang kì 2 mình ??ng kí ?c ko ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
Cho e h?i. Có c?n khám và có gi?y khám s?c kho? n?p kèm v?i h? s? không ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
"B?n là k? s? giao thông m?i ra tr??ng và không mu?n ?i công trình, hãy tham kh?o ngay job này nhé
Công ty TNHH TTS Group có tr? s? t?i Vi?t Nam, Singapore là Công ty t? v?n d?ch v? giao thông tuy?n d?ng K? s? giao thông KHÔNG YÊU C?U KINH NGHI?M (100% làm t?i v?n phòng), làm vi?c t?i tòa LILAMA10, 56 T? H?u, Nam T? Liêm, Hà N?i
*Quy?n l?i
- M?c l??ng 7-9tr+th??ng KPI, Tr? l??ng ngày cu?i cùng c?a tháng,
-Làm vi?c t? t2-t6
-?óng bhxh ?úng quy ??nh, l??ng tháng 13, t?ng l??ng hàng n?m,
-Du l?ch và các chính sách th??ng, phúc l?i khác theo quy ??nh.
-Qtam ib nh?n jd                                                                                                                    ",Neutral,,,,,,,,,,,,,,,,,,,,,,
Em c?n các ch? t? v?n v? v? chuy?n khoa ho?c chuy?n ngành ? tr??ng mình có ai giúp em không ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
h?c l?i là 1 ph?n k th? thi?u c?a Giao thông,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Nh? h?i nào còn ?i xe bus 32 Nh?n- GTVT ,r?i lên Núi Trúc h?c ti?ng Nh?t n?a",Neutral,,,,,,,,,,,,,,,,,,,,,,
Ko ph?i A4 xây d? mà ??y là n?i th?c hành c?a sv bên ngành liên quan ??n xây d?ng ??y,Neutral,,,,,,,,,,,,,,,,,,,,,,
cái ch? a4 nhi?u cát là ch? th?c t?p c?a 1 s? a h?c c?u ???ng thì ph?i,Neutral,,,,,,,,,,,,,,,,,,,,,,
A4 lúc ý ?ang thay g?ch nhé ch? k ph?i xây d? v?i h?c l?i thì h?c ? A2 nhé c,Neutral,,,,,,,,,,,,,,,,,,,,,,
"H?c l?i có th? ? b?t k? toà nào, A2 a5, a7, a8,.....",Neutral,,,,,,,,,,,,,,,,,,,,,,
th?t ra là t? sân th? ch?t bóng chuy?n r? ph?i còn có 1 sân tennis n?a :v,Neutral,,,,,,,,,,,,,,,,,,,,,,
phòng nào cx có ?i?u hoà nhé,Positive,,,,,,,,,,,,,,,,,,,,,,
View tr??ng xinh quá ?,Positive,,,,,,,,,,,,,,,,,,,,,,
"?i?u hòa mát quá nên vào ?ó ng? ??y > <. Còn nguyên dàn máy tính thì t? tr??c n?m 2009, ch?y h?i rùa @@ t?o. M?i th? còn l?i oki h?t",Positive,,,,,,,,,,,,,,,,,,,,,,
Tr??ng h?c ??p và hi?n ??i quá! Em yêu ch? Th?o <3,Positive,,,,,,,,,,,,,,,,,,,,,,
"Ngày tr??c h?c th?y bình th??ng, lên clip th?y c?ng ??p ??y, Nhà A2 ch?c m?i l?p thang máy? Th? vi?n tr??c lên h?c có th?y ?ông th? này ?âu, trong clip th?y m?y em ?ông th? nh?",Negative,,,,,,,,,,,,,,,,,,,,,,
Tr??ng ?h gtvt này ch?c c.gái ít l?m h? m.n,Negative,,,,,,,,,,,,,,,,,,,,,,
Review ch? ra cái gì x?u c? tr??ng ng??i ta ra,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Bây gi? ?i?u hoà l?p full c? tr??ng r?i, mùa hè ph?i mang áo rét, và h? th?ng b?ng thông minh n?a. Các em yên tâm nha",Positive,,,,,,,,,,,,,,,,,,,,,,
"Các b?n phân vân ch?n tr??ng là r?t ?úng,n?u vào GTVT thì h?c phí r?t r? so vs cùng ch??ng trình ?ào t?o c?a các tr??ng khác.Khi vào tr??ng chúng ta có r?t nhi?u môi tr??ng ?? phát tri?n ??i ng? giáo viên r?t t?t và c?c k? quan tâm ??n sinh viên(?i?u này chúng ta s? th?y ???c khi h?c n?m 3,4).Và quan tr?ng là khi chúng ta vào tr??ng thì ph?i xác ??nh rõ là h?c c? h?i vi?c làm thì luôn m? r?ng ngay t? khi n?m 3,4.",Positive,,,,,,,,,,,,,,,,,,,,,,
"Sv n?m cu?i utc2 nè.  S?p ra tr??ng thì tr??ng xây thêm khu ?a n?ng to l?m mà m?y t?ng thì quên r?i vs canteen x?n xò.  Không bi?t m?y trg khác nh? nào ch? tr??ng mình thì SV khá là lành (ít drama, ít th?y ch?i b?i ?ua ?òi vì ?a s? là sv nghèo, ng??i mi?n Trung và c?ng ch?u khó h?c hành), mình c?ng so sánh vs b?n bè h?c ? các trg h?c phí cao n?m ? trung tâm thì nó ? cái t?m khác  Ho?t ??ng ? tr??ng thì không nhi?u, sinh viên ít tham gia ho?t ??ng (nam h?i nhi?u) nh?ng n?u tham gia các clb ??i nhóm, h?i - ?oàn thì c?ng sôi n?i và ??m b?o có c? h?i cho mn th? hi?n b?n thân và tìm ki?m ni?m vui.  V? gi?ng d?y thì mình h?c Khai thác v?n t?i, th?y ?n thôi ch? v?n còn nhi?u v?n ??. C?ng không bi?t so sánh vs ngành khác và trg khác ntn. C? ch?u khó h?c thì l?y ???c b?ng ?úng h?n thôi à. Welcome to UTC2",Positive,,,,,,,,,,,,,,,,,,,,,,
H?c phí th?p và ?ào t?o ch?t l??ng thì hãy ??n v?i tr??ng nhé. ??t bi?t ktx r?ng thoáng mát và chi phí h?t d?,Positive,,,,,,,,,,,,,,,,,,,,,,
Nói chung là Ngon - B? - R?.  Khi nào nh?p h?c alo anh d?n ?i,Positive,,,,,,,,,,,,,,,,,,,,,,
Mình c?ng h?c giao thông nh?ng là giao thông 1 và h sinh viên giao thông ?ang ph?i thi h?t kì onl,Neutral,,,,,,,,,,,,,,,,,,,,,,
H?c phí th?p vs ktx s?ch thôi ch? ch?t l??ng phòng h?c chán l?m,Negative,,,,,,,,,,,,,,,,,,,,,,
các trang thi?t b? c?n thi?t thôi ch? ch?a có hi?n ??i nha sinh viên l?u ý,Negative,,,,,,,,,,,,,,,,,,,,,,
t? hào UTC2,Positive,,,,,,,,,,,,,,,,,,,,,,
Xây d?ng là th? m?nh x?a gi? c?a UTC2,Positive,,,,,,,,,,,,,,,,,,,,,,
mình k56 khoa công ngh? thông tin nh? không nh?m là h?c 4 n?m h?t có 34 c?. Th?y cô giáo có tâm. Ra ngoài xin ???c vi?c bình th??ng =)))),Positive,,,,,,,,,,,,,,,,,,,,,,
"n?u ?i?m em ? m?c khá gi?i thì em h?c GT là ?n nhaaa, còn ??nh thì vào Ngo?i Th??ng mà h?c",Neutral,,,,,,,,,,,,,,,,,,,,,,
"n?u ?i?m em ? m?c khá gi?i thì em h?c GT là ?n nhaaa, còn ??nh thì vào Ngo?i Th??ng mà h?c",Neutral,,,,,,,,,,,,,,,,,,,,,,
M?t tr??ng ??i h?c công lâ?p tôp ??u cu?a viê?t nam,Positive,,,,,,,,,,,,,,,,,,,,,,
"Quy mô,??p !",Positive,,,,,,,,,,,,,,,,,,,,,,
Khuôn viên tr??ng r?ng rãi. C? s? v?t ch?t ??y ?? tuy nhiên c?n nâng c?p thêm nhi?u th? Máy móc trang thi?t b? ph?c v? cho thí nghi?m r?t nhi?u. Th?y cô nhi?t tình giúp ?? sinh viên,Positive,,,,,,,,,,,,,,,,,,,,,,
"?ây là ngôi tr??ng mình ?ang h?c, r?t vui và có duyên khi ?? vào tr??ng ?h Giao thông v?n t?i. Tr??ng r?ng và khuôn viên khá ??p, phòng h?c hi?n ??i, m?i, ??p.",Positive,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng ??i h?c Giao thông V?n t?i là m?t tr??ng ??i h?c công l?p ??ng ??u ngành GTVT, theo ??nh h??ng nghiên c?u, có nhi?m v? ?ào t?o các chuyên ngành thu?c l?nh v?c v? k? thu?t và kinh t? trong Giao thông V?n t?i c?a Vi?t Nam",Positive,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng h?c ch?t l??ng t?t, các giáo viên ??u r?t xu?t s?c, khuôn viên tr??ng r?ng rãi n?m ngay trung tâm th? ?ô, các khu sinh ho?t và luy?n t?p cùng v?i h?c t?p cho sinh viên r?t ??y ??, giáo viên nhi?t tình t?n tâm v?i ngh?. ??nh h??ng t?t cho sinh viên tr??c khi ra tr??ng và ch?n ???c công vi?c phù h?p.",Positive,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng ?ào t?o giao thông ??u ngành c?a Vi?t Nam. C? s? v?t ch?t ngày càng khang trang, hi?n ??i, ?áp ?ng nhu c?u m?i.",Positive,,,,,,,,,,,,,,,,,,,,,,
"Tr? thành tr??ng ??i h?c ?a ngành theo ??nh h??ng nghiên c?u, kh?ng ??nh v? th? hàng ??u Vi?t Nam trong l?nh v?c giao thông v?n t?i, có uy tín và ch?t l??ng ngang t?m Châu Á. Tr? thành tr??ng ??i h?c ?a ngành theo ??nh h??ng nghiên c?u, kh?ng ??nh v? th? hàng ??u Vi?t Nam trong l?nh v?c giao thông v?n t?i, có uy tín và ch?t l??ng ngang t?m Châu Á.",Positive,,,,,,,,,,,,,,,,,,,,,,
"V?y mà bây gi? ngh? ??n c?nh ??n tr??ng là s? r?i, nào là n? môn nào là h?c l?i. Ngh? mà chán",Negative,,,,,,,,,,,,,,,,,,,,,,
háo h?c h?n tân sv:)))),Positive,,,,,,,,,,,,,,,,,,,,,,
nhà tr??ng c?ng ?i?m rèn luy?n tham gia nh?ng ch??ng trình h?u ích nh? này gi?ng v?i các tr??ng top ?ang làm s? giúp ích cho c?ng ??ng sinh viên trong tr??ng ?i lên,Positive,,,,,,,,,,,,,,,,,,,,,,
Cho e h?i th? BHYT h?t h?n ngày 30/9 thì có c?n n?p b?n g?c hay b?n sao gì k ??,Neutral,,,,,,,,,,,,,,,,,,,,,,
mn cho em h?i gi?y nvqs con gái kh c?n kí ?úng kh ??,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Em ch?a xác nh?n nh?p h?c trên b?., H làm sao ?",Neutral,,,,,,,,,,,,,,,,,,,,,,
Ngày ??u nh?p h?c b? ng? vô cùng,Neutral,,,,,,,,,,,,,,,,,,,,,,
Em ra tr??ng r?i nh?ng mu?n nh?p h?c l?i có ?c không ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
N?u em mu?n ? KTX thì phi?u báo thay ??i nhân kh?u nhà tr??ng phát r?i em ?i?n ?????,Neutral,,,,,,,,,,,,,,,,,,,,,,
cho em h?i là em kh ?i làm th? sinh viên ?c vào ngày 28-1 ?ó ? v?y em có th? ?i làm l?i sau ?c kh ??,Neutral,,,,,,,,,,,,,,,,,,,,,,
Em thi?u Gi?y CN k?t qu? thi thì làm th? nào ?! Th? 2 n?p b? sung ?c ko ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
"cho em h?i em b? m?t th? bhyt còn h?n ??n h?t 31/12 gi? em ph?i làm sao, em v?n còn mã bhyt ?",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Cái m?c khám hqua e có h?i các ac sv tình nguy?n h??ng ra ch? khám nh mà ac l?i b?o t?m th?i ch?a khám ngay, xong m?y cái kia là ?i v? ?c, nên là m?c khám ?ang tr?ng thì bh quay l?i khám có ?c k ? ?",Neutral,,,,,,,,,,,,,,,,,,,,,,
Cho mk h?i nh?ng ai ?k hôm 28 có ?c phát gi?y báo nh?p h?c có d?u ?? ko .h mu?n l?y thì l?y ki?u j?,Neutral,,,,,,,,,,,,,,,,,,,,,,
mo?i ng???i cho em ho?i chô? tra?m y tê? mi?nh ch?a kha?m thi? co? sao không a?,Neutral,,,,,,,,,,,,,,,,,,,,,,
Em mu?n b? sung gi?y ??i t??ng ?u tiên n?p phòng nào ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
Ad cho e xin s?t c?a ban qu?n lý ktx ?c k ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Th?a th?y/cô.
? phía cu?i c?a Gi?y di chuy?n NVQS mà em n?p có ph?n ""Ti?p nh?n"" c?a tr??ng mình (phía BCH Quân s? Xã yêu c?u mang v? n?p ph?n này).
V?y em có th? liên l?c v?i ch? nào ?? xin ?.",Neutral,,,,,,,,,,,,,,,,,,,,,,
em n?p gi?y di chuy?n nvqs sau ngày 30 ?c ko ? t?i xã b?o tu?n sau m?i có,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Cho em h?i gi?y ??ng kí ngh?a v? quân s? có c?n thi?t k?
",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Th?y cô cho em h?i, gi?y t?t nghi?p t?m th?i không s? d?ng ???c ?? Vì 2k4 ch?a có gi?y chính th?c ?",Neutral,,,,,,,,,,,,,,,,,,,,,,
em ?? h?t ch? kí r?i có ph?i n?p l?i t? này không ? ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
E mu?n hoie th? bhyt c?a e cu?i t9 h?t h?n thì có c?n mang photo ko ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
